{name: "javascript", number: "1,345,845"}
{name: "java", number: "1,227,853"}
{name: "c#", number: "1,072,073"}
{name: "php", number: "1,051,891"}
{name: "android", number: "966,019"}
{name: "zip", number: "6,170"}
{name: "escaping", number: "6,164"}
{name: "styles", number: "6,139"}
{name: "singleton", number: "6,150"}
{name: "windows-installer", number: "6,130"}
{name: "locking", number: "6,125"}
{name: "pip", number: "6,117"}
{name: "pthreads", number: "6,112"}
{name: "jpanel", number: "6,101"}
{name: "sonarqube", number: "6,095"}
{name: "jquery-validate", number: "6,084"}
{name: "google-visualization", number: "6,062"}
{name: "certificate", number: "6,042"}
{name: "oracle10g", number: "6,037"}
{name: "base64", number: "6,036"}
{name: "embedded", number: "6,029"}
{name: "cygwin", number: "6,024"}
{name: "tinymce", number: "6,013"}
{name: "append", number: "6,275"}
{name: "sms", number: "5,992"}
{name: "content-management-system", number: "5,990"}
{name: "gtk", number: "5,983"}
{name: "uikit", number: "5,983"}
{name: "hex", number: "5,982"}
{name: "imagemagick", number: "5,962"}
{name: "redux", number: "5,957"}
{name: "package", number: "5,935"}
{name: "linq-to-entities", number: "5,929"}
{name: "protractor", number: "5,931"}
{name: "user", number: "5,916"}
{name: "alignment", number: "5,906"}
{name: "maps", number: "5,901"}
{name: "compression", number: "5,872"}
{name: "less", number: "5,869"}
{name: "subquery", number: "5,868"}
{name: "java-me", number: "5,863"}
{name: "web-crawler", number: "5,859"}
{name: "app-store", number: "5,858"}
{name: "apache-camel", number: "5,855"}
{name: "repository", number: "5,849"}
{name: "odbc", number: "5,847"}
{name: "applescript", number: "5,843"}
{name: "localhost", number: "5,821"}
{name: "full-text-search", number: "5,811"}
{name: "printf", number: "5,798"}
{name: "usb", number: "5,786"}
{name: "webserver", number: "5,775"}
{name: "key", number: "5,768"}
{name: "pattern-matching", number: "5,767"}
{name: "load", number: "5,763"}
{name: ".net-3.5", number: "5,741"}
{name: "export", number: "5,737"}
{name: "label", number: "5,739"}
{name: "apple-push-notifications", number: "5,736"}
{name: "admob", number: "5,715"}
{name: "fragment", number: "5,696"}
{name: "http-post", number: "5,684"}
{name: "type-conversion", number: "5,677"}
{name: "install", number: "5,673"}
{name: "scheme", number: "5,666"}
{name: "ejb", number: "5,664"}
{name: "ionic2", number: "5,667"}
{name: "double", number: "5,631"}
{name: "salesforce", number: "5,622"}
{name: "composer-php", number: "5,618"}
{name: "flexbox", number: "5,611"}
{name: "fluent-nhibernate", number: "5,605"}
{name: "subprocess", number: "5,603"}
{name: "malloc", number: "5,582"}
{name: "refactoring", number: "5,582"}
{name: "apache2", number: "5,580"}
{name: "sitecore", number: "5,572"}
{name: "jetty", number: "5,571"}
{name: "comparison", number: "5,567"}
{name: "jquery-animate", number: "5,556"}
{name: "xcode4", number: "5,555"}
{name: "range", number: "5,553"}
{name: "client", number: "5,552"}
{name: "interface-builder", number: "5,549"}
